Code_ADN	Og_acc	MOY1720_M1	MOY1720_M2	MOY1720_M3	MOY1720	MOY1720norm	MOY1720_M1norm	MOY1720_M2norm	MOY1720_M3norm
FE	179	0.5461285711	-0.1997699286	0.2597789144	0.1332293085	-0.0167001796943716	0.677677751874201	0.257468720648329	0.332655987732261
FF	112	-0.1580097684	0.241163724	0.4209352122	0.1680297226	0.018110747754885	-0.105038489483896	0.296541535524362	0.522654252182834
FH	400	0.4037378622	-0.2100907445	0.1863701588	0.1266724255	-0.0231909969561213	0.501858024190353	0.250167431530586	0.249831314046662
FI	487	0.3032248261	-0.4325505308	0.5754548205	0.1487097053	-0.0012898783953467	0.382787982870047	0.274783013448949	0.714897610149572
FK	496	0.2836084685	0.164237619	-0.1632296533	0.0948721447	-0.0543609560199727	0.360051527006574	0.215032006178046	-0.109961202533986
FL	122	0.4250835148	0.5335715055	0.3201180077	0.426257676	0.294538931833109	0.527688946954517	0.602751881565801	0.402500719291656
FM	206	-0.76489837	0.1137211329	-0.8066556244	-0.4859442872	-0.520226398132063	-0.565180162862682	-0.33800898626731	-0.586638897595386
FP	159	-0.3436834475	-0.6354215722	-0.2635280114	-0.4142110104	-0.474877920002452	-0.270928609780769	-0.279743201068947	-0.201687355580048
FQ	116	-0.5826117585	-0.8221803316	-0.7013486625	-0.7020469175	-0.62872689021039	-0.453644197497302	-0.492956966982178	-0.529421915440179
FR	129	0.1862452248	0.4648881529	0.3638714765	0.3383349514	0.196942109686629	0.249692400714009	0.495349734292765	0.454121767319386
FS	431	0.1560435444	-0.0609575516	-0.3336174527	-0.0795104866	-0.215788880253511	0.216318125070768	0.0307207483335974	-0.262438812381255
FT	114	0.2978829677	0.0812517152	-0.0225763298	0.1188527843	-0.0309034044391142	0.376580032144502	0.241485299817604	0.0276108339989779
FV	403	-0.3129616818	0.429442138	0.2541394491	0.1235399684	-0.0262842186219896	-0.244830470958448	0.246686165172937	0.326208821670817
GB	430	0.2695248813	-0.3262889764	-0.1633881994	-0.0733840982	-0.210400612131461	0.343830538419514	0.0369490649564327	-0.110110496319965
GC	438	-0.2485438723	-0.4262346734	-0.0973526153	-0.2573770537	-0.362524639758719	-0.188335838793856	-0.141805712482369	-0.0467875432275459
GD	402	0.643786634	0.3640594167	0.1462370016	0.3846943507	0.247968577992173	0.802925380593655	0.551585887424489	0.205570500416385
GE	154	0.3905698232	0.5610302483	0.3066669314	0.4194223343	0.286827287208642	0.486017188814389	0.594289189212005	0.386794666918319
